Niveau,Échelon,Autonomie,Technicité,Responsabilité
Agent de service (AS),Professionnel,"J'assure des prestations à partir d'instructions précises, sous le contrôle de ma hiérarchie.","J'effectue des travaux d'entretien courant, consistant en un enchaînement de tâches simples et répétitives, d'exécution facile, reproductibles après simple démonstration. Le matériel électrique est d'utilisation simple.",Pas de responsabilité demandé
Agent de service (AS),Confirmé,Je dois pouvoir déchiffrer les consignes écrites. Je transmets de l'information à ma hiérarchie.,"J' effectue des travaux d'entretien courant, consistant en un enchaînement de tâches simples et répétitives, d'exécution facile, reproductibles après simple démonstration. Le matériel électrique est d'utilisation simple.","Je suis en mesure d'assurer une des deux missions suivantes :- ou j'ouvre et ferme par tous moyens le site pour les besoins de l'accomplissement des prestations,- ou j'effectue régulièrement, en l'absence de chef d'équipe présent sur le site, la liaison avec le responsable hiérarchique pour signaler notamment les besoins de renouvellement de consommables de l'ensemble du site ou pour distribuer des produits préparés."
Agent de service (AS),Confirmé Spécialisé,"Je prend des initiatives dans le cadre des instructions reçues, décèle les difficultés et les transmet à ma hiérarchie.","Je connais, maîtrise et applique des méthodes de travail et des procédés spécifiques nécessaires à la réalisation de mon activité. Ceux-ci sont acquis par l'expérience et/ ou par des formations obligatoires.
","Je suis en mesure d'assurer une des deux missions suivantes :- ou j'ouvre et ferme par tous moyens le site pour les besoins de l'accomplissement des prestations,- ou j'effectue régulièrement, en l'absence de chef d'équipe présent sur le site, la liaison avec le responsable hiérarchique pour signaler notamment les besoins de renouvellement de consommables de l'ensemble du site ou pour distribuer des produits préparés."
Agent qualifié de service (AQS),1,"J'organise les travaux relevant de mes activités, à partir d'instructions générales.","Je connais, maîtrise et applique des méthodes de travail et des procédés spécifiques nécessaires à la réalisation de mon activité. Ceux-ci sont acquis par formation, par expérience ou par un titre, un diplôme ou une certification de branche.
","Je suis en mesure d'assurer une des deux missions suivantes :- ou j'ouvre et ferme par tous moyens le site pour les besoins de l'accomplissement des prestations,- ou j'effectue régulièrement, en l'absence de chef d'équipe présent sur le site, la liaison avec le responsable hiérarchique pour signaler notamment les besoins de renouvellement de consommables de l'ensemble du site ou pour distribuer des produits préparés."
Agent qualifié de service (AQS),2,Je propose à ma hiérarchie des moyens et des méthodes à utiliser pour la réalisation des prestations.,"J'utilise des méthodes et procédures complexes, des techniques connexes, acquises par une formation appropriée obligatoire ou par une expérience validée ou reconnue.",J'ai la responsabilité de l'entretien du matériel utilisé.
Agent qualifié de service (AQS),3,"Je choisis, sous le contrôle de mon supérieur hiérarchique, les moyens et méthodes à utiliser, et peut les adapter à la situation de travail.","J'utilise des méthodes et procédures complexes, des techniques connexes, acquises par une formation appropriée obligatoire ou par une expérience validée ou reconnue.","J'organise mon travail.
Je dois être en mesure d'apprécier le contrôle de la prestation exécutée."
Agent très qualifié de service (ATQS),1,"Je choisis les moyens et les méthodes à utiliser pour la réalisation des prestations, et les adapte à ma situation de travail.",Les prestations nécessitent des travaux de haute technicité ou des opérations complexes. Cela suppose une technicité ou une pratique professionnelle reconnue que je peux transmettre à un salarié moins confirmé.,"J'ai la responsabilité de l'entretien et de la maintenance des matériels complexes que j'utilise et qui sont présents de façon constante sur le site.
J'organise mon travail.
Je peux transmettre mon savoir, et je suis en mesure d'apprécier le contrôle global de la prestation exécutée."
Agent très qualifié de service (ATQS),2,"Je choisis les moyens et les méthodes à utiliser pour la réalisation des prestations, et les adapte à ma situation de travail.",Les acquis permettent l'exécution de prestations complexes et combinées des plus délicates.,J'agis en fonction des objectifs qui lui ont été donnés et peux proposer des actions complémentaires. J'évalue mes acquis conjointement avec ma hiérarchie.
Agent très qualifié de service (ATQS),3,"Je choisis les moyens et les méthodes à utiliser pour la réalisation des prestations, et les adapte à la situation de travail.",La connaissance des moyens d'exécution et d'accomplissement des prestations est complète.,Je rédige des rapports et les transmets à ma hiérarchie.